Fecha,Demanda
2015-01,2000
2015-02,1760
2015-03,1480
2015-04,1160
2015-05,1980
2015-06,2020
2015-07,2400
2015-08,1540
2015-09,2360
2015-10,2140
2015-11,1389
2015-12,2900
2016-01,2720
2016-02,2365
2016-03,2729
2016-04,2680
2016-05,2300
2016-06,4980
2016-07,2080
2016-08,2940
2016-09,2880
2016-10,1720
2016-11,1187
2016-12,1980
2017-01,2780
2017-02,3340
2017-03,1160
2017-04,2420
2017-05,1677
2017-06,2105
2017-07,2200
2017-08,3320
2017-09,3720
2017-10,2780
2017-11,3500
2017-12,2620
2018-01,3168
2018-02,2832
2018-03,2352
2018-04,1080
2018-05,720
2018-06,3888
2018-07,3120
2018-08,3256
2018-09,2664
2018-10,3192
2018-11,2040
2018-12,4488